A,gen,profits,revenues,costs,Y1,Y2,L1,L2,D1,D2,G1,G2,pD,pG1,pG2,YB
0.5,0.,0.0002889873826927179,0.0008682515188573914,0.0005792641361646735,0.001035612185413125,0.,0.0008482162919463678,1.718181818178512e-7,5.960606060569329e-7,5.960606060569329e-7,0.001548912629187636,0.,0.15,0.1,1.e10,9.999131748479948
0.5,1.,-0.049436413588725664,0.0016919305338810708,0.05112834412260673,0.0017076252514968981,0.0002761920362945179,0.0013986547736815934,0.0002397905816105426,1.8069065398764035e-6,0.0003576263371130575,0.0025520645841271687,0.,0.15,0.1,1.e10,9.998308069461618
0.5,0.,0.00018638619791512754,0.000560766774348958,0.00037438057643383047,0.0003168245888421384,0.00006119595065160335,0.0003452972744365309,0.00006668810708598312,5.960606060569329e-7,5.960606060569329e-7,0.00028195074720249264,0.000054467387779020075,0.15,0.5,0.5,9.99943923311349
1.,0.,0.0011564429697245148,0.00346986563121141,0.002313422661486895,0.004137369610312777,0.,0.003388831754672451,1.718181818178512e-7,5.960606060569329e-7,5.960606060569329e-7,0.006187420568779435,0.,0.15,0.1,1.e10,9.996530134368768
1.,1.,-0.04774652529695531,0.006758739374885421,0.054505264671840734,0.006819644870790697,0.0011019491649847518,0.005585853965681136,0.0009568187611889737,1.8078579645780242e-6,0.0014265087314540628,0.010196808199928787,0.,0.15,0.1,1.e10,9.993241260625034
1.,0.,0.0007459588167338532,0.0022391694792951544,0.0014932106625613012,0.0012646617395568013,0.0002436067098674634,0.0013783430512374288,0.00026549726639673254,5.960606060569329e-7,5.960606060569329e-7,0.0011254290721094099,0.00021679429901539694,0.15,0.5,0.5,9.997760830518336
1.5,0.,0.0026011996287692444,0.007800888062516505,0.00519968843374726,0.009299813611302443,0.,0.0076173334022045435,1.7181818194091213e-7,5.960606074242805e-7,5.960606074242805e-7,0.013907570053717908,0.,0.15,0.1,1.e10,9.99219910779195
1.5,1.,-0.04493384709942748,0.015184433847873057,0.06011828094730054,0.015316691071393355,0.0024744978869027344,0.01254569124330905,0.0021486414651277074,1.8080375200358575e-6,0.0032031731057634368,0.022903674215896362,0.,0.15,0.1,1.e10,9.98481556615212
1.5,0.,0.0016781617135800003,0.005034422143570111,0.003356260429990111,0.002842977224245651,0.0005473536846265094,0.0030985458605974946,0.0005965504731982401,5.960606060569329e-7,5.960606060569329e-7,0.0025299687836110815,0.0004870981062097715,0.15,0.5,0.5,9.99496557785621
2.,0.,0.004621757227362381,0.013853808375382276,0.009232051148019895,0.016512194016851556,0.,0.013524914797162457,1.7181818194091213e-7,5.960606074242805e-7,5.960606074242805e-7,0.024693290221654687,0.,0.15,0.1,1.e10,9.986146189484572
2.,1.,-0.041004056618503454,0.026940731654610747,0.0679447882731142,0.027164538542122373,0.004388313667189295,0.022250134292592004,0.00381046220703613,1.8383700401736585e-6,0.0056804662475695746,0.04062144330658674,0.,0.15,0.1,1.e10,9.973059261621517
2.,0.,0.002982370324773157,0.008943402691196915,0.0059610323664237574,0.005049655744494489,0.0009720291744689357,0.005503600253042613,0.0010594034189054748,5.960606060569329e-7,5.960606060569329e-7,0.004493687471776131,0.0008650159527596633,0.15,0.5,0.5,9.991056597308763
2.5,0.,0.007216022777814263,0.021618208850894167,0.014402186073079908,0.025759621014051094,0.,0.021099380661533895,1.7181818194091213e-7,5.960606074242805e-7,5.960606074242805e-7,0.03852231015039761,0.,0.15,0.1,1.e10,9.978381789804136
2.5,1.,-0.03596504357934498,0.041988374082433465,0.07795341766177843,0.0423157149994378,0.006835718687690205,0.034660296168579484,0.005935612630886378,1.8275567283028912e-6,0.008848454744909525,0.06327920916799831,0.,0.15,0.1,1.e10,9.958011621815524
